English,Turkish
you,Sen
i,Ben
the,the
to,ile
a,A
s,S
it,BT
and,Ve
that,O
t,T
of,ile ilgili
is,dır-dir
in,içinde
what,Ne
we,Biz
me,Ben
this,Bu
he,O
for,için
my,Benim
on,Açık
have,sahip olmak
your,senin
do,Yapmak
was,öyleydi
m,M
no,HAYIR
not,Olumsuz
be,olmak
are,öyle
don,giymek
re,tekrar
know,Bilmek
can,olabilmek
with,ile
but,Ancak
all,Tümü
so,Bu yüzden
just,Sadece
there,Orası
here,Burada
they,Onlar
like,beğenmek
ll,LL
get,elde etmek
she,o
go,Gitmek
if,eğer
right,Sağ
out,dışarı
about,hakkında
up,yukarı
at,en
him,o
now,Şimdi
oh,ah
one,bir
come,Gelmek
well,Peki
her,o
how,Nasıl
yeah,Evet
ve,ve
will,irade
got,var
want,istek
think,düşünmek
as,gibi
see,Görmek
did,yaptı
good,iyi
who,DSÖ
why,Neden
from,itibaren
let,izin vermek
his,onun
yes,Evet
when,Ne zaman
going,giden
time,zaman
an,BİR
okay,Tamam
back,geri
look,Bakmak
us,biz
would,istemek
them,onlara
where,Neresi
were,vardı
take,almak
then,Daha sonra
had,vardı
or,veya
been,olmuştur
our,bizim
gonna,yapacağım
tell,söylemek
really,Gerçekten
man,Adam
some,bazı
say,söylemek
hey,Hey
could,abilir
d,D
didn,yapmadı
by,ile
need,ihtiyaç
something,bir şey
has,sahip olmak
too,fazla
more,Daha
way,yol
down,aşağı
make,yapmak
very,çok
never,Asla
only,sadece
people,insanlar
over,üzerinde
because,Çünkü
little,biraz
please,Lütfen
love,Aşk
should,meli
mean,Anlam
said,söz konusu
sorry,Üzgünüm
give,vermek
off,kapalı
am,ben
thank,teşekkür etmek
any,herhangi
two,iki
even,eşit
much,fazla
doing,yapmak
sure,Elbette
thing,şey
these,bunlar
help,yardım
first,Birinci
into,içine
anything,herhangi bir şey
still,Hala
find,bulmak
life,hayat
nothing,Hiçbir şey
sir,Sayın
day,gün
god,Tanrı
work,iş
their,onların
uh,ah
again,Tekrar
maybe,Belki
must,mutlak
before,önce
other,diğer
wait,Beklemek
stop,durmak
call,Arama
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,Ev
night,gece
put,koymak
great,Harika
those,onlar
last,son
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay.
new,yeni
things,şeyler
always,Her zaman
keep,kale
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,yapmaz
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,Çocuklar
father,baba
guy,adam
made,yapılmış
old,eskimiş
isn,öyle
which,Hangi
big,büyük
lot,pay
done,Tamamlandı
hello,Merhaba
nice,Güzel
believe,inanmak
girl,kız
someone,birisi
fine,iyi
thanks,teşekkürler
wanted,aranan
kind,tür
coming,gelen
house,ev
every,Her
ok,Tamam
through,başından sonuna kadar
being,yapı
course,kurs
stay,kalmak
left,sol
dad,baba
enough,yeterli
happened,olmuş
came,gelmek
may,mayıs
mother,anne
wrong,yanlış
world,dünya
bad,kötü
might,belki
three,üç
today,Bugün
listen,Dinlemek
another,bir diğer
understand,anlamak
hear,duymak
remember,Unutma
ask,sormak
own,sahip olmak
same,Aynı
show,göstermek
else,başka
kill,öldürmek
talking,konuşuyor
found,kurmak
next,Sonraki
getting,edinme
care,bakım
car,araba
looking,bakıyor
son,oğul
try,denemek
woman,kadın
went,gitmiş
hi,MERHABA
dead,ölü
many,birçok
mind,akıl
wasn,öyleydi
friend,arkadaş
best,en iyi
mom,anne
hell,cehennem
morning,Sabah
trying,denemek
boy,erkek çocuk
together,birlikte
yourself,kendin
job,iş
saw,testere
family,aile
real,gerçek
without,olmadan
baby,Bebek
room,oda
wouldn,olur
already,çoktan
move,taşınmak
most,en
seen,görülen
live,canlı
miss,kayıp
actually,Aslında
huh,Ha
shit,bok
both,ikisi birden
heard,duyulmuş
once,bir kere
ready,hazır
head,KAFA
called,isminde
used,kullanılmış
idea,fikir
knew,biliyordum
hold,tutmak
happy,mutlu
door,kapı
such,çok
fuck,Kahretsin
brother,Erkek kardeş
also,Ayrıca
pretty,tatlı
bit,biraz
took,alınmış
haven,sığınak
yet,henüz
men,erkekler
whole,tüm
start,başlangıç
use,kullanmak
while,sırasında
since,o zamandan beri
wife,eş
days,günler
guess,tahmin etmek
tomorrow,Yarın
matter,konu
meet,tanışmak
bring,getirmek
tonight,bu akşam
everyone,herkes
run,koşmak
wanna,istiyorum
hard,zor
ah,Ah
alone,yalnız
myself,kendim
school,okul
gone,gitmiş
um,hım
end,son
saying,söyleyerek
phone,telefon
play,oynamak
looks,görünüyor
couldn,yapamadım
fucking,kahrolası
problem,sorun
few,bir kaç
friends,Arkadaşlar
gotta,lazım
ago,evvel
open,açık
anyone,herhangi biri
killed,öldürüldü
hope,umut
face,yüz
until,değin
lost,kayıp
police,polis
excuse,mazeret
turn,dönüş
business,işletme
case,dava
wants,istiyor
says,diyor
TRUE,DOĞRU
die,ölmek
heart,kalp
soon,yakında
each,her biri
worry,endişelenmek
later,Daha sonra
year,yıl
watch,kol saati
music,müzik
hand,el
having,sahip olmak
probably,muhtemelen
beautiful,Güzel
doctor,doktor
sit,oturmak
eat,yemek yemek
thinking,düşünme
young,genç
second,ikinci
working,çalışma
water,su
person,kişi
part,parça
kids,çocuklar
late,geç
stuff,şey
exactly,Kesinlikle
under,altında
death,ölüm
minute,dakika
pay,ödemek
crazy,deli
forget,unutmak
everybody,herkes
kid,çocuk
change,değiştirmek
gave,verilmiş
happen,olmak
damn,lanet etmek
five,beş
drink,içmek
far,uzak
knows,biliyor
its,onun
whatever,Her neyse
eyes,gözler
shut,kapamak
aren,değil mi
hit,vurmak
taking,almak
easy,kolay
times,zamanlar
check,kontrol etmek
hands,eller
minutes,dakika
deal,anlaşmak
different,farklı
means,araç
point,nokta
inside,içeri
makes,yapar
asked,diye sordu
somebody,birisi
mine,bana ait
making,yapımı
body,vücut
afraid,korkmuş
sleep,uyumak
chance,şans
dear,Sayın
quite,epeyce
four,dört
anyway,Neyse
close,kapalı
ain,değil
party,Parti
fun,eğlence
against,aykırı
word,kelime
comes,geliyor
important,önemli
set,ayarlamak
shall,acak
story,hikaye
number,sayı
daughter,kız çocuğu
least,en az
waiting,beklemek
hurt,acıtmak
wish,dilek
moment,an
fight,kavga
week,hafta
husband,koca
girls,kızlar
rest,dinlenmek
married,evli
fire,ateş
game,oyun
nobody,hiç kimse
mr,Bay
children,çocuklar
side,taraf
stand,durmak
read,Okumak
though,Yine de
cut,kesmek
started,başladı
sister,kız kardeş
supposed,sözde
between,arasında
child,çocuk
goes,gitmek
hours,saat
speak,konuşmak
women,kadınlar
behind,arka
almost,neredeyse
truth,gerçek
blood,kan
able,hünerli
lady,bayan
anymore,artık değil
playing,oynuyor
gets,alır
shot,atış
reason,sebep
trouble,bela
break,kırmak
war,savaş
city,şehir
walk,yürümek
town,şehir
trust,güven
dr.,Dr.
met,tanışmak
office,ofis
question,soru
brought,getirilmiş
yours,senin
welcome,Hoş geldin
high,yüksek
wow,Vay
couple,çift
half,yarım
died,ölü
cool,Serin
free,özgür
either,herhangi biri
seems,öyle gibi
power,güç
whoa,vay be
bye,Hoşçakal
buy,satın almak
telling,söylüyorum
honey,Bal
tried,sınanmış
front,ön
team,takım
answer,cevap
gun,silah
boys,erkek çocuklar
line,astar
send,Göndermek
news,haberler
stupid,aptal
bed,yatak
hurry,acele etmek
full,tam dolu
months,aylar
save,kaydetmek
sometimes,Bazen
become,haline gelmek
along,birlikte
hate,nefret
food,yiyecek
outside,dıştan
light,ışık
l,ben
needs,ihtiyaçlar
dog,köpek
country,ülke
clear,temizlemek
order,emir
em,onları
fact,hakikat
lord,Kral
captain,Kaptan
six,altı
hot,sıcak
funny,eğlenceli
black,siyah
mrs.,bayan.
alive,canlı
pick,seçmek
feeling,his
living,yaşamak
cause,neden
ahead,ilerde
lose,kaybetmek
king,kral
plan,plan
dinner,akşam yemeği
sighs,iç çeker
sort,düzenlemek
leaving,ayrılmak
shouldn,yapmalı
running,koşma
boss,patron
alright,Tamam
promise,söz
taken,alınmış
safe,güvenli
ma,anne
book,kitap
sent,gönderilmiş
white,beyaz
hour,saat
anybody,herhangi biri
small,küçük
perfect,mükemmel
cause,neden
lives,hayatları
special,özel
parents,ebeveynler
s,S
john,John
himself,kendisi
perhaps,belki
sounds,sesler
serious,cidden
sick,hasta
company,şirket
ha,Ha
scared,korkmuş
uncle,amca
poor,fakir
red,kırmızı
past,geçmiş
earth,toprak
possible,olası
shoot,film çekmek
touch,dokunmak
sound,ses
top,tepe
ass,eşek
laughs,gülüyor
cannot,yapamamak
asking,sormak
win,kazanç
glad,memnun
control,kontrol
hmm,Hmm
human,insan
drive,sürmek
hair,saç
jack,kriko
bitch,orospu
luck,şans
murder,cinayet
happens,olur
air,hava
ten,on
daddy,babacığım
finally,Sonunda
chuckles,kıkırdamalar
fast,hızlı
cold,soğuk
seem,gözükmek
laughing,gülüyor
words,kelimeler
hospital,hastane
street,sokak
hang,asmak
dance,dans
meeting,toplantı
till,kadar
others,diğerleri
catch,yakalamak
follow,takip etmek
sense,algı
sex,seks
lie,yalan
evening,akşam
master,usta
known,bilinen
dream,rüya
write,yazmak
million,milyon
voice,ses
sweet,tatlı
rather,yerine
felt,keçe
sign,imza
lucky,şanslı
somewhere,bir yerde
bet,bahis
o,Ö
jesus,isa
longer,uzun
calling,aramak
worked,çalıştı
quiet,sessizlik
looked,baktı
less,az
pull,çekmek
beat,vurmak
careful,dikkatli olmak
coffee,Kahve
return,geri dönmek
secret,gizli
weeks,haftalar
weren,değildi
date,tarih
seeing,görmek
fall,düşmek
given,verildi
ooh,ah
fault,arıza
straight,dümdüz
takes,almak
song,şarkı
future,gelecek
gentlemen,beyler
loved,sevilen
changed,değişti
road,yol
calm,sakinlik
wonderful,müthiş
mad,kızgın
turned,döndü
drop,düşürmek
ladies,Hanımlar
learn,öğrenmek
step,adım
absolutely,kesinlikle
early,erken
explain,açıklamak
clean,temiz
piece,parça
yesterday,Dün
throw,fırlatmak
picture,resim
land,kara
feet,ayak
wonder,merak etmek
questions,sorular
speaking,konuşuyorum
worth,değer
darling,Canım
dude,dostum
giving,vermek
president,başkan
eye,göz
quick,hızlı
moving,hareketli
figure,figür
state,durum
strong,güçlü
sam,Sam
none,hiçbiri
amazing,inanılmaz
ones,olanlar
works,İşler
act,davranmak
needed,gerekli
weird,garip
law,kanun
worried,endişeli
report,rapor
goodbye,Güle güle
missing,eksik
choice,seçenek
happening,olay
chief,şef
wedding,düğün
strange,garip
general,genel
pain,ağrı
am,ben
kidding,şaka yapmak
decided,karar verilmiş
ya,evet
pass,geçmek
tired,yorgun
class,sınıf
officer,subay
kept,tutulmuş
wake,uyanmak
worse,daha kötüsü
busy,Meşgul
eh,eh
mistake,hata
kiss,öpücük
court,mahkeme
building,bina
finish,sona ermek
during,sırasında
age,yaş
ship,gemi
caught,yakalanmış
marry,evlenmek
meant,anlamına gelen
sell,satmak
dark,karanlık
watching,seyretme
system,sistem
suppose,sanmak
evidence,kanıt
movie,film
ride,sürmek
t,T
completely,tamamen
mouth,ağız
totally,tamamen
birthday,doğum günü
tv,televizyon
forgive,affetmek
born,doğmak
imagine,hayal etmek
information,bilgi
instead,yerine
definitely,kesinlikle
security,güvenlik
certainly,kesinlikle
film,film
month,ay
lying,uzanmak
unless,meğer ki
train,tren
seven,Yedi
wear,giymek
clothes,kıyafetler
michael,Michael
hotel,otel
christmas,noel
attack,saldırı
hasn,hasan
round,yuvarlak
expect,beklemek
sing,şarkı söylemek
terrible,korkunç
george,George
bag,çanta
history,tarih
blue,mavi
near,yakın
broke,parasız
station,istasyon
seriously,Cidden
forever,sonsuza kadar
david,David
frank,açık sözlü
except,hariç
thinks,düşünüyor
message,İleti
entire,bütün
joe,Joe
table,masa
talked,konuştu
across,karşısında
rock,kaynak
lovely,sevimli
handle,halletmek
middle,orta
buddy,ahbap
paid,paralı
protect,korumak
using,kullanarak
floor,zemin
ran,koştu
swear,küfür
spend,harcamak
situation,durum
ring,yüzük
anywhere,herhangi bir yer
dangerous,tehlikeli
bill,fatura
york,york
army,ordu
lead,yol göstermek
bought,satın alınmış
finished,bitti
fair,adil
sun,güneş
letter,mektup
fool,aptal
attention,dikkat
club,kulüp
simple,basit
interesting,ilginç
space,uzay
test,Ölçek
box,kutu
group,grup
single,Bekar
sitting,oturma
marriage,evlilik
join,katılmak
fear,korku
d,D
peace,barış
forgot,unutmuş olmak
force,güç
short,kısa
normal,normal
charlie,Charlie
present,Sunmak
enjoy,Eğlence
mike,mikrofon
crime,suç
horse,atış
ground,zemin
american,Amerikan
count,saymak
area,alan
charge,şarj
honor,onur
lunch,öğle yemeği
miles,mil
radio,radyo
idiot,salak
ball,top
surprise,sürpriz
paper,kağıt
key,anahtar
boat,bot
quickly,hızlıca
gold,altın
bar,çubuk
fish,balık
mark,işaret
tom,tom
wearing,giyme
crying,ağlamak
accident,kaza
government,devlet
eight,sekiz
fell,düşmüş
cover,kapak
certain,kesin
interested,ilgili
deep,derin
star,yıldız
sea,deniz
agree,kabul etmek
problems,sorunlar
detective,dedektif
prison,hapishane
major,ana
stick,sopa
offer,teklif
difficult,zor
smart,akıllı
personal,kişisel
record,kayıt
stopped,durduruldu
hide,saklamak
whether,ikisinden biri
bank,banka
trip,seyahat
relax,rahatlamak
america,Amerika
public,halk
list,liste
afternoon,öğleden sonra
brain,beyin
fix,düzeltmek
bastard,piç
proud,gurur duymak
tea,çay
service,hizmet
screaming,bağıran
forward,ileri
angry,sinirli
park,park
soul,ruh
fighting,savaş
peter,Peter
rich,zengin
agent,ajan
blow,üflemek
paul,Paul
dress,elbise
mary,Mary
missed,kaçırıldı
scene,sahne
killing,öldürme
standing,ayakta
saved,kaydedildi
mm,mm
respect,Saygı
killer,katil
ice,buz
mess,karışıklık
tough,zorlu
feels,hissediyor
church,kilise
sad,üzgün
cell,hücre
drunk,sarhoş
share,paylaşmak
camera,kamera
mm-hmm,mm-hmm
within,içinde
card,kart
fly,uçmak
ben,ben
girlfriend,kız arkadaşı
laugh,gülmek
smell,koku
broken,kırık
mum,anne
honest,dürüst
often,sıklıkla
starting,Başlangıç
calls,çağrılar
y,sen
spent,harcanan
third,üçüncü
english,İngilizce
visit,ziyaret etmek
mama,anne
judge,yargıç
window,pencere
hungry,aç
dare,cesaret etmek
relationship,ilişki
moved,etkilenmiş
prove,kanıtlamak
private,özel
wall,duvar
seat,koltuk
i-i,ben-ben
position,konum
lieutenant,teğmen
realize,fark etmek
lt,lt
especially,özellikle
machine,makine
walking,yürüme
art,sanat
pleasure,zevk
bloody,kanlı
college,kolej
french,Fransızca
involved,dahil olmuş
cry,ağlamak
became,oldu
lived,yaşadı
impossible,imkansız
obviously,açıkça
neither,hiç biri
accept,kabul etmek
boyfriend,erkek arkadaş
besides,Ayrıca
queen,kraliçe
teacher,Öğretmen
cops,polisler
sake,hatır
loves,seviyor
carry,taşımak
teach,öğretmek
apartment,apartman
upset,üzgün
green,yeşil
la,la
liked,beğenildi
cute,Sevimli
evil,fenalık
professor,profesör
contact,temas etmek
joke,şaka
cop,polis
huge,büyük
holy,kutsal
store,mağaza
jail,hapishane
likes,seviyor
lawyer,avukat
doubt,şüphe
continue,devam etmek
appreciate,takdirle karşılamak
cat,kedi
shop,mağaza
driving,sürme
congratulations,Tebrikler
wrote,yazdı
village,köy
quit,çıkış yapmak
field,alan
james,James
wine,şarap
decision,karar
south,güney
sleeping,uyuyor
slow,yavaş
laughter,kahkaha
island,ada
glass,bardak
beginning,başlangıç
cash,peşin
dying,ölme
hundred,yüz
whose,kimin
difference,fark
plane,uçak
push,itmek
continues,devam ediyor
mmm,mmm
singing,Şarkı söyleme
eating,yemek yiyor
north,kuzey
mrs,bayan
tree,ağaç
madam,hanımefendi
gift,hediye
truck,kamyon
putting,koyarak
bear,ayı
board,pano
grab,yakalamak
beer,bira
stuck,sıkışmak
magic,büyü
support,Destek
rules,tüzük
grunts,homurdanıyor
partner,ortak
reach,ulaşmak
wind,rüzgâr
colonel,albay
max,maksimum
immediately,hemen
seconds,saniye
thousand,bin
gives,verir
experience,deneyim
cheers,şerefe
victim,kurban
upon,üzerine
computer,bilgisayar
christ,İsa
planet,gezegen
promised,söz
bus,otobüs
henry,Henry
dirty,kirli
search,aramak
staying,Kalmak
dreams,rüyalar
arrest,tutuklamak
holding,tutma
suddenly,Birden
usually,genellikle
lots,sürü
shoes,ayakkabı
er,yani
jump,zıplamak
rid,kurtulmak
yo,sen
knock,kapıyı çalmak
owe,sahip olmak
harry,harry
grow,büyümek
worst,en kötüsü
river,nehir
aunt,hala
patient,hasta
kitchen,mutfak
aah,ah
fat,yağ
passed,geçti
m,M
final,son
summer,yaz
bob,bob
listening,dinleme
escape,kaçmak
everywhere,her yer
moon,ay
arms,silâh
turns,dönüşler
address,adres
ow,ah
match,kibrit
gasps,nefes nefese
grand,büyük
yep,Evet
shh,şşş
nervous,gergin
de,de
choose,seçmek
themselves,kendileri
decide,karar vermek
mate,mat
drinking,içme
press,basmak
bother,rahatsız etmek
foot,ayak
hadn,hadım
blame,suçlamak
crap,saçmalık
drugs,ilaçlar
type,tip
rings,yüzükler
mission,misyon
named,adlandırılmış
heaven,cennet
ii,ii
picked,seçilmiş
paris,Paris
race,ırk
risk,risk
books,kitabın
further,daha öte
danny,danny
action,aksiyon
allowed,izin verilmiş
orders,emirler
learned,öğrendi
price,fiyat
arrived,ulaşmış
nick,Nick
otherwise,aksi takdirde
pictures,resimler
fit,yerleştirmek
smoke,Sigara içmek
favor,iyilik
played,oynandı
notice,fark etme
awesome,Mükemmel
smile,gülümsemek
director,müdür
guard,koruma
begin,başlamak
spot,leke
surprised,şaşırmış
innocent,masum
narrator,dış ses
herself,kendini
london,Londra
feelings,duygular
enemy,düşman
battle,savaş
ourselves,kendimizi
alex,alex
dollars,dolar
allow,izin vermek
nine,dokuz
gay,eşcinsel
department,departman
guilty,suçlu
apart,ayrı
earlier,daha erken
duty,görev
jim,Jim
suit,uygun olmak
bell,zil
west,batı
legs,bacaklar
hero,kahraman
destroy,tahrip etmek
stage,sahne
bunch,demet
according,binaen
chicken,tavuk
bigger,daha büyük
grunting,homurdanma
low,Düşük
helping,yardım ediyor
admit,itiraf etmek
closed,kapalı
names,isimler
witness,tanık
upstairs,üst katta
arm,kol
steal,hırsızlık yapmak
jimmy,Jimmy
kick,tekme atmak
twice,iki kere
cross,geçmek
ways,yollar
sergeant,Çavuş
indeed,Aslında
gas,gaz
keeping,tutmak
energy,enerji
pregnant,hamile
waste,atık
helped,yardım etti
fired,işten çıkarmak
favorite,favori
tony,Tony
taste,tatmak
locked,kilitli
places,yer
writing,yazı
adam,Adem
brothers,Kardeşler
starts,başlar
prince,prens
form,biçim
sold,satılmış
silly,şapşal
mention,değinmek
build,inşa etmek
throat,boğaz
hole,delik
figured,düşündüm
track,izlemek
ringing,zil
lock,kilit
leg,bacak
above,üstünde
hiding,saklanmak
steve,Steve
seemed,görünüyordu
breakfast,kahvaltı
engine,motor
written,yazılı
complete,tamamlamak
video,video
applause,alkış
however,Yine de
pressure,basınç
fresh,taze
weapon,silah
sky,gökyüzü
ms.,Hanım.
stole,çaldı
study,çalışmak
burn,yakmak
reading,okuma
crowd,kalabalık
treat,davranmak
roll,rulo
double,çift
spirit,ruh
danger,tehlike
cost,maliyet
empty,boş
level,seviye
memory,hafıza
itself,kendisi
acting,oyunculuk
interest,faiz
nose,burun
plans,planlar
following,takip etme
bathroom,banyo
built,inşa edilmiş
closer,daha yakın
ray,ışın
sarah,Sarah
band,bant
groans,inliyor
apparently,görünüşe göre
excited,heyecanlı
richard,Richard
losing,kaybetmek
animals,hayvanlar
flight,uçuş
nature,doğa
raise,artırmak
pop,pop
client,müşteri
bomb,bomba
neck,boyun
suspect,şüphelenmek
warm,ılık
extra,ekstra
bottle,şişe
van,kamyonet
heavy,ağır
mommy,anne
dogs,köpekler
wild,vahşi
ridiculous,saçma
simply,basitçe
lee,Lee
animal,hayvan
showed,gösterdi
billy,Billy
shooting,çekim
keeps,tutar
camp,kamp
guns,silahlar
medical,tıbbi
shame,utanç
hoping,umut etmek
whom,kime
bird,kuş
majesty,majesteleri
flowers,Çiçekler
famous,ünlü
asleep,uyuya kalmak
beauty,güzellik
driver,sürücü
keys,anahtarlar
rain,yağmur
awful,berbat
large,büyük
local,yerel
deserve,hak etmek
goddamn,lanet olası
stone,taş
jane,Jane
grace,lütuf
consider,dikkate almak
weekend,hafta sonu
wondering,merak ediyor
lay,sermek
plenty,bolca
willing,hevesli
pants,pantolon
sweetheart,Tatlım
skin,deri
excellent,harika
asshole,Pislik
beach,sahil
c,C
faith,inanç
beg,dilenmek
fuckin,lanet
responsible,sorumlu
military,askeri
cheering,tezahürat
opportunity,fırsat
common,yaygın
bottom,alt
german,Almanca
whoever,her kim
cook,aşçı
walked,yürüdü
papers,evraklar
justice,adalet
hall,salon
commander,komutan
drug,ilaç
main,ana
knife,bıçak
devil,şeytan
necessary,gerekli
although,rağmen
princess,prenses
lights,ışıklar
flying,uçan
dick,çük
rose,gül
knowing,bilmek
clearly,Açıkça
hat,şapka
agreed,kabul
johnny,Johnny
corner,köşe
code,kod
note,Not
tommy,tommy
due,vadesi dolmuş
correct,doğru
apologize,özür dilemek
language,dil
stars,yıldızlar
faster,Daha hızlı
cars,arabalar
folks,millet
bullshit,saçmalık
i.,Ben.
fellow,aynı tür
several,birçok
grandma,büyükanne
shows,gösteriler
leader,Önder
leaves,yapraklar
restaurant,restoran
east,doğu
shouting,bağırmak
blind,kör
ghost,hayalet
cup,bardak
gotten,elde edildi
tight,sıkı
conversation,konuşma
tells,anlatır
lies,yalanlar
nor,ne de
pulled,çekti
hanging,asılı
speed,hız
stories,hikayeler
health,sağlık
advice,tavsiye
held,tutulmuş
uh-huh,HI-hı
murdered,öldürülmüş
beyond,öte
rule,kural
hardly,zorlu
possibly,muhtemelen
inspector,müfettiş
cousin,kuzen
trial,duruşma
emergency,acil durum
ought,yapmalı
eddie,Eddie
somehow,bir şekilde
hearing,işitme
states,eyaletler
account,hesap
spoke,konuştu
file,dosya
understood,anlaşıldı
angel,melek
tape,kaset
milk,süt
powerful,güçlü
weapons,silahlar
practice,pratik
manager,müdür
pardon,bağışlamak
vote,oy
jake,Jake
national,ulusal
career,kariyer
minister,bakan
super,Süper
taught,öğretilen
robert,Robert
biggest,en büyük
plays,oynar
natural,doğal
dancing,dans
copy,kopyala
plus,artı
martin,martin
cake,kek
freedom,özgürlük
among,arasında
breath,nefes
operation,operasyon
chris,Chris
crew,mürettebat
challenge,meydan okumak
market,pazar
meat,et
towards,karşı
bringing,getirmek
dropped,düştü
student,öğrenci
lied,Yalan
strength,kuvvet
size,boyut
breathe,nefes almak
color,renk
monster,canavar
loud,yüksek sesle
photo,Fotoğraf
aw,ah
nearly,neredeyse
sight,görünüş
greatest,En büyük
games,oyunlar
bridge,köprü
dressed,giyinmiş
arrested,tutuklanmış
horrible,berbat
coach,koç
planning,planlama
checked,kontrol
breaking,son Dakika
noticed,algılanan
fantastic,fantastik
screams,çığlıklar
serve,sert
ideas,fikirler
investigation,soruşturma
center,merkez
older,daha eski
pack,ambalaj
soldiers,askerler
nonsense,anlamsız
doc,doktor
project,proje
training,eğitim
example,örnek
trick,kandırmak
prepared,tedarikli
science,bilim
united,Birleşik
travel,seyahat
incredible,inanılmaz
grandpa,büyükbaba
paying,ödeme
character,karakter
teeth,dişler
criminal,adli
charles,Charles
chinese,Çince
truly,tamamen
honestly,Açıkçası
bro,kardeş
survive,hayatta kalmak
bobby,Bobby
target,hedef
feed,beslemek
nurse,hemşire
e,e
fake,sahte
records,kayıtlar
breathing,nefes almak
sweetie,Tatlım
