English,Turkish
numbers,sayılar
oil,yağ
suicide,intihar
belong,ait olmak
whoo,vay
perfectly,kusursuzca
amy,Amy
forgotten,unutulmuş
remain,geriye kalmak
original,orijinal
papa,baba
onto,üzerine
concerned,endişeli
credit,kredi
ugh,ah
invited,davet edildi
discuss,tartışmak
research,araştırma
easier,Daha kolay
view,görüş
chair,sandalye
hurts,acıtmak
strike,çarpmak
roger,Roger
fill,doldurmak
condition,durum
mountain,dağ
dr,doktor
nowhere,Hiçbir yerde
sheriff,şerif
kim,kim
turning,dönüm
brown,kahverengi
recognize,tanımak
heads,kafalar
audience,kitle
all,Tümü
jealous,kıskanç
pretend,numara yapmak
society,toplum
finding,bulma
shirt,gömlek
comfortable,rahat
meaning,Anlam
guest,misafir
pieces,parçalar
dry,kuru
letting,izin vermek
began,başlamak
aye,evet
jeff,jeff
female,dişi
release,serbest bırakmak
ho,merhaba
cards,kartlar
pray,dua etmek
unfortunately,Ne yazık ki
balls,toplar
destroyed,yerlebir edilmiş
ended,Bitti
universe,Evren
prepare,hazırlanmak
opinion,fikir
movies,filmler
soldier,asker
wash,yıkamak
program,programı
heat,sıcaklık
usual,olağan
ticket,bilet
stolen,çalıntı
prefer,tercih etmek
aware,farkında olmak
surely,kesinlikle
male,erkek
base,temel
matters,önemli
lift,kaldırmak
lab,laboratuvar
command,emretmek
proof,kanıt
cream,krem
selling,satış
believed,inanıldı
create,yaratmak
h,H
afford,parası yetmek
sunday,Pazar
total,Toplam
dumb,sersem
threw,attı
france,Fransa
birth,doğum
created,yaratıldı
realized,gerçekleştirilmiş
british,ingiliz
noise,gürültü
nuts,Fındık
students,öğrenciler
birds,kuşlar
social,sosyal
brilliant,muhteşem
bodies,bedenler
tie,bağlamak
opened,açıldı
ours,bizim
bucks,dolar
kevin,kevin
mister,bayım
ugly,çirkin
ryan,ryan
focus,odak
dan,dan
opens,açılır
exist,var olmak
followed,takip etti
england,İngiltere
draw,çizmek
purpose,amaç
letters,edebiyat
daniel,Daniel
opening,açılış
bullet,kurşun
anna,Anna
lately,son zamanlarda
stayed,kaldı
falling,Düşmek
season,mevsim
ends,biter
suggest,tavsiye etmek
joy,neşe
distance,mesafe
responsibility,sorumluluk
whenever,her ne zaman
issue,sorun
thousands,binlerce
process,işlem
sword,kılıç
shower,duş
weak,zayıf
fucked,sikildi
lonely,yalnız
happiness,mutluluk
eric,Eric
tiny,minik
desk,çalışma masası
pool,havuz
property,mülk
forced,zoraki
settle,yerleşmek
indistinct,belirsiz
weight,ağırlık
received,kabul edilmiş
gang,çete
bite,ısırmak
friday,cuma
disappeared,ortadan kayboldu
interview,röportaj
expecting,beklemek
kinda,gibi
surgery,ameliyat
horses,atlar
mayor,Belediye Başkanı
babe,bebeğim
ancient,antik
handsome,Yakışıklı
thomas,Thomas
saturday,Cumartesi
staff,kadro
lines,çizgiler
unit,birim
fan,fan
gentleman,beyefendi
introduce,tanıtmak
fate,kader
split,bölmek
recently,son zamanlarda
expected,beklenen
add,eklemek
ordered,sipariş edildi
slowly,yavaşça
alarm,alarm
member,üye
slept,uyudum
signed,imzalanmış
enter,girmek
spanish,İspanyol
garden,bahçe
brings,getiriyor
brave,cesur
pig,domuz
model,modeli
finger,parmak
medicine,ilaç
access,erişim
failed,arızalı
flat,düz
easily,kolayca
discovered,keşfetti
based,temelli
screw,vida
insane,inanılmaz
cares,umurunda
weather,hava durumu
fingers,parmaklar
san,san
scott,Scott
path,yol
soft,yumuşak
harm,zarar
style,stil
community,toplum
sees,görür
basically,temel olarak
al,al
signal,sinyal
nope,Hayır
spare,kıyamamak
speech,konuşma
covered,kapalı
shake,sallamak
loose,gevşetmek
snow,kar
russian,Rusça
lake,göl
bright,parlak
roof,çatı
ohh,Aah
sending,gönderme
paint,boyamak
remind,hatırlatmak
pal,dostum
naked,çıplak
post,postalamak
sugar,şeker
heading,başlık
streets,sokaklar
damage,zarar
silence,sessizlik
doors,kapılar
pete,pete
ed,Ed
success,başarı
wet,ıslak
nah,Hayır
amount,miktar
members,üyeler
kate,kate
manage,üstesinden gelmek
safety,emniyet
returned,iade
harder,Daha güçlü
fbi,FBI
block,engellemek
showing,gösteriliyor
fancy,süslü
chef,şef
contract,sözleşme
dig,kazmak
chest,göğüs
good-bye,Güle güle
drinks,içecekler
dave,dave
buried,gömülü
brian,brian
trade,ticaret
journey,seyahat
stomach,karın
changes,değişiklikler
details,detaylar
thoughts,düşünceler
divorce,boşanmak
funeral,cenaze
maria,Maria
football,Futbol
reality,gerçeklik
theory,teori
gosh,Allah Allah
ruined,harap
gate,geçit
william,William
spread,yaymak
outta,dışarı
japanese,Japonca
sudden,birden
coat,kaban
sooner,Er
cheese,peynir
larry,Larry
spring,bahar
page,sayfa
ears,kulaklar
simon,Simon
castle,kale
hidden,gizlenmiş
storm,fırtına
cos,çünkü
personally,Şahsen
artist,sanatçı
hill,tepe
exciting,heyecan verici
permission,izin
jerry,Jerry
expensive,masraflı
tickets,biletler
forest,orman
barely,neredeyse
eggs,yumurtalar
goin,içeri gir
regret,pişmanlık
lesson,ders
lover,sevgili
bread,ekmek
andy,andy
subject,ders
legal,yasal
growing,büyüyor
ill,hasta
jason,Jason
mood,mod
owner,mal sahibi
caused,neden oldu
beeping,bip sesi
points,puan
dating,flört
loss,kayıp
secretary,Sekreter
revenge,intikam
santa,Noel Baba
likely,büyük ihtimalle
rent,kira
connection,bağlantı
assistant,asistan
reasons,sebepler
yelling,bağırıyor
painting,tablo
trees,ağaçlar
doctors,doktorlar
rush,acele etmek
foreign,yabancı
rough,kaba 
murderer,katil
century,yüzyıl
nights,geceler
pair,çift
runs,koşar
pocket,cep
farm,çiftlik
matt,mat
bike,bisiklet
obvious,bariz
ate,yemek yedi
grew,büyüdü
professional,profesyonel
tim,zaman
goodness,iyilik
parts,parçalar
alan,alan
university,Üniversite
square,kare
grandfather,Büyük baba
europe,Avrupa
genius,dahi
cases,vakalar
ruin,mahvetmek
winter,kış
tongue,dil
memories,hatıralar
da,da
buying,alış
cancer,kanser
clock,saat
ocean,okyanus
dna,DNA
liar,yalancı
tour,tur
thief,hırsız
bleep,bip sesi
lisa,lisa
rights,Haklar
including,içermek
competition,yarışma
smith,demirci
planned,planlanmış
emily,Emily
boring,sıkıcı
victims,kurbanlar
mentioned,adı geçen
bones,kemikler
plant,bitki
bless,korusun
warning,uyarı
knocking,kapıyı çalmak
re,tekrar
crash,kaza
bedroom,yatak odası
lower,daha düşük
silver,gümüş
groaning,inleme
madame,madam
defense,savunma
results,sonuçlar
toilet,tuvalet
event,etkinlik
complicated,karmaşık
shape,şekil
priest,rahip
royal,asil
cheap,ucuz
romantic,romantik
downstairs,alt kat
invite,davet etmek
fortune,talih
tears,göz yaşları
avoid,kaçınmak
reached,ulaşmış
higher,daha yüksek
familiar,aşina
telephone,telefon
burning,yanan
filled,dolu
kelly,Kelly
alice,Alice
airport,havalimanı
jobs,Meslekler
grown,büyümüş
walter,Walter
rachel,rachel
giant,devasa
insurance,sigorta
woods,orman
n,N
scare,Korkmak
pleased,memnun
period,dönem
political,siyasi
player,oyuncu
stops,durur
secrets,sırlar
laura,Laura
repeat,tekrarlamak
photos,fotoğraflar
finds,bulur
statement,ifade
suck,emmek
younger,daha genç
china,Çin
humans,insanlar
delicious,lezzetli
particular,özel
proper,düzgün
rome,Roma
belongs,ait
attacked,saldırıya uğradı
bath,banyo
hired,işe alındı
site,alan
knowledge,bilgi
b,B
led,neden olmuş
guests,Misafirler
celebrate,kutlamak
map,harita
horn,korna
eventually,sonunda
pity,acımak
powers,yetkiler
ashamed,utanmış
assume,farz etmek
glasses,gözlük
rise,yükselmek
fixed,sabit
request,rica etmek
officers,memurlar
pounds,pound
data,veri
carefully,dikkatlice
per,başına
depends,bağlı olmak
jury,jüri
waited,bekledi
positive,pozitif
attorney,avukat
direction,yön
families,aileler
clock,saat
doin,yapıyor
forces,kuvvetler
location,konum
walls,duvarlar
useless,kullanışsız
grant,hibe etmek
saving,tasarruf
speaks,konuşuyor
fought,kavga etti
meal,yemek
deliver,teslim etmek
answers,Yanıtlar
changing,değiştirme
temple,tapınak
scary,korkutucu
millions,milyonlarca
offered,teklif edildi
regular,düzenli
carrying,taşıma
official,resmi
jacket,ceket
switch,anahtar
grave,mezar
chase,takip etmek
role,rol
odd,garip
sexy,seksi
faces,yüzler
becomes,olur
closes,kapatır
badly,kötü
tall,uzun
confused,kafası karışmış
affair,mesele
television,televizyon
shock,şok
raised,kabarık
panting,nefes nefese
pizza,Pizza
image,görüntü
clears,temizler
golden,altın
patients,hastalar
watched,izledim
committed,bağlılık
sexual,cinsel
suffer,acı çekmek
arthur,Arthur
wherever,her nerede
plate,plaka
appear,belli olmak
chocolate,çikolata
clever,akıllı
hm,hm
mercy,merhamet
shots,çekim
lucy,Lucy
dealing,uğraşmak
trap,tuzak
charges,masraflar
phil,Phil
bang,patlama
poison,zehir
butt,popo
drove,sürdü
yourselves,kendiniz
headed,başlı
babies,bebekler
yellow,sarı
soup,çorba
mystery,gizem
picking,toplama
sat,doygunluk
wound,yara
traffic,trafik
courage,cesaret
hunt,avlamak
indian,Hintli
rat,fare
terms,şartlar
italian,İtalyan
emma,Emma
checking,kontrol etme
disease,hastalık
managed,yönetilen
winner,kazanan
council,konsey
appointment,randevu
monday,Pazartesi
crack,çatırtı
threat,tehdit
jenny,Jenny
physical,fiziksel
nation,ulus
source,kaynak
chose,seçti
healthy,sağlıklı
carl,Carl
victory,zafer
rick,Rick
stood,durmak
kicked,tekmeledi
annie,Annie
disgusting,iğrenç
palace,Saray
below,altında
shopping,alışveriş
neighborhood,komşu
march,mart
lips,dudaklar
midnight,gece yarısı
piss,işemek
advantage,avantaj
pure,saf
india,Hindistan
aside,bir kenara
jerk,sarsmak
mail,posta
dawn,şafak
effect,etki
spell,hecelemek
freak,çatlak
wood,odun
screwed,berbat
enemies,düşmanlar
gary,Gary
awake,uyanmak
chuckling,kıkırdama
vacation,tatil
violence,şiddet
leo,Aslan
grandmother,Nene
modern,modern
luke,Luke
firm,firma
prime,astar vurmak
heh,heh
touched,dokundum
talent,yetenek
whore,fahişe
piano,piyano
license,lisans
cooking,yemek pişirmek
honour,onur
concern,kaygı
moves,hamle
available,mevcut
factory,fabrika
gods,tanrılar
value,değer
central,merkezi
union,birlik
mirror,ayna
studio,stüdyo
media,medya
taxi,taksi
dies,ölür
iron,ütü
hearts,kalpler
desire,arzu
rob,soymak
claire,Claire
fred,Fred
songs,şarkılar
washington,Washington
monkey,maymun
pride,gurur
pills,haplar
miracle,mucize
swim,yüzmek
burned,yanmış
smells,kokuyor
joking,şaka
christian,Hıristiyan
bleeding,kanama
hook,kanca
beating,dayak
protection,koruma
treatment,tedavi
ear,kulak
carter,arabacı
metal,metal
disappear,yok olmak
grateful,minnettar
extremely,aşırı boyutta
treasure,hazine
rescue,kurtarmak
capable,yetenekli
passing,geçen
chatter,gevezelik
result,sonuç
suffering,cefa
sisters,kız kardeşler
laid,koydu
governor,Vali
guards,muhafızlar
louis,Louis
text,metin
literally,gerçekten
remove,kaldırmak
becoming,olmak
performance,verim
stronger,Daha güçlü
rate,oran
deeply,derinden
scream,bağırmak
desert,çöl
vehicle,araç
illegal,yasadışı
pulling,çekme
throwing,atma
josh,Josh
unbelievable,Inanılmaz
ted,ted
zero,sıfır
dean,dekan
curious,meraklı
sean,Sean
candy,Şeker
bone,kemik
tied,bağlı
edge,kenar
load,yük
susan,Susan
ahh,ah
mountains,dağlar
boom,Boom
former,önceki
holiday,tatil
riding,binme
scoffs,alay etmek
hundreds,yüzlerce
motherfucker,orospu çocuğu
sue,Dava açmak
bags,çanta
stealing,çalmak
appears,görünür
arrive,varmak
remains,kalıntılar
decent,düzgün
issues,sorunlar
tip,uç
fail,hata
bride,gelin
pissed,kızgın
penny,kuruş
claim,iddia
friendship,dostluk
desperate,çaresiz
flower,çiçek
dramatic,dramatik
refuse,reddetmek
solve,çözmek
theme,tema
loving,sevgi dolu
properly,düzgün bir şekilde
dragon,Ejderha
mostly,çoğunlukla
chuck,ayna
directly,direkt olarak
surface,yüzey
FALSE,YANLIŞ
cast,döküm
junior,genç
hunting,avcılık
silent,sessiz
thou,sen
egg,Yumurta
germany,Almanya
punch,yumruk
africa,Afrika
woke,uyandım
intelligence,istihbarat
borrow,borç almak
winning,kazanan
falls,düşme
popular,popüler
escaped,kaçtı
witch,cadı
convinced,ikna edilmiş
warn,uyarmak
announcer,spiker
champagne,Şampanya
dust,toz
kyle,kyle
someday,bir gün
fallen,düşmüş
stranger,yabancı
presence,mevcudiyet
tear,göz yaşı
st.,st.
internet,internet
monsieur,mösyö
therefore,Öyleyse
technology,teknoloji
tires,lastikler
toast,kızarmış ekmek
wise,bilge
clark,Clark
americans,Amerikalılar
notes,notlar
smoking,sigara içmek
hank,çile
ls,ls
april,nisan
wolf,kurt
precious,değerli
rooms,Odalar
coast,sahil
treated,işlem görmüş
material,malzeme
released,piyasaya sürülmüş
uniform,üniforma
hated,nefret edilen
considered,dikkate alınan
rice,pirinç
exchange,değişme
steps,adımlar
blake,Blake
convince,ikna etmek
beast,canavar
cow,inek
files,Dosyalar
signs,işaretler
drag,sürüklemek
cab,taksi
hung,asılı
carried,taşınan
ordinary,sıradan
successful,başarılı
eve,havva
mistakes,hatalar
houses,evler
chattering,Gevezelik
brains,beyin
japan,Japonya
creature,yaratık
fourth,dördüncü
separate,ayırmak
cleaning,temizlik
california,Kaliforniya
lf,eğer
ll,LL
shift,vardiya
elizabeth,Elizabeth
chicago,Chicago
exact,bire bir aynı
karen,karen
goal,amaç
expert,uzman
served,servis edildi
direct,doğrudan
score,Gol
row,sıra
marks,işaretler
twenty,yirmi
receive,almak
series,seri
section,bölüm
pilot,pilot
jackson,Jackson
darkness,karanlık
thy,senin
sale,satış
destiny,kader
cure,tedavi
spoken,konuşulmuş
armed,silahlı
rare,nadir
helen,Helen
grade,seviye
juice,Meyve suyu
wide,geniş
tower,kule
solution,çözüm
schedule,takvim
explosion,patlama
wheel,teker
cigarette,sigara
julie,Julie
fruit,meyve
blew,patladı
victor,galip
talks,görüşmeler
sacrifice,kurban etmek
range,menzil
button,düğme
reports,raporlar
prisoner,mahkum
pie,turta
effort,çaba
youth,gençlik
pot,tencere
eaten,yenilmiş
taylor,Taylor
knees,dizler
garage,garaj
parking,otopark
ambulance,ambulans
staring,bakmak
chances,şans
circumstances,durumlar
sin,günah
gordon,Gordon
progress,ilerlemek
unusual,olağan dışı
county,ilçe
stairs,merdiven
campaign,kampanya
mon,pazartesi
vision,görüş
reporter,muhabir
equipment,teçhizat
moments,anlar
joey,joey
mass,yığın
alien,yabancı
trapped,hapsolmuş
helps,yardım eder
route,rota
defend,savunmak
trace,iz
nasty,edepsiz
tests,testler
magazine,dergi
rocks,kayalar
dump,çöplük
rude,kaba
searching,Aranıyor
clue,ipucu
connected,bağlı
amen,amin
pushed,itti
merry,şen
zone,alan
senior,kıdemli
closing,kapanış
freeze,donmak
emperor,imparator
incident,olay
snake,yılan
mexico,Meksika
lily,zambak
actor,aktör
newspaper,gazete
sentence,cümle
greg,Greg
leading,önde gelen
friendly,arkadaşça
jones,Jones
chosen,seçilmiş
engaged,nişanlı
julia,Julia
charming,alımlı
mustn,yapılmalı
anger,kızgınlık
spending,harcama
learning,öğrenme
spy,casus
sharp,keskin
shadow,gölge
warrant,garanti
elevator,asansör
kingdom,krallık
ricky,riskli
jamie,Jamie
squad,Tayfa
shoulder,omuz
wave,dalga
amanda,amanda
highness,Majesteleri
kinds,çeşitler
fishing,Balık tutma
sometime,bazen
attitude,davranış
sucks,berbat
negative,olumsuz
screen,ekran
workers,işçiler
bored,sıkılmış
cameras,kameralar
similar,benzer
understanding,anlayış
beeps,bip sesleri
chain,zincir
bull,Boğa
gasping,nefes nefese
fully,tamamen
robin,ardıç kuşu
collect,TOPLAMAK
gorgeous,muhteşem
morgan,morgan
passion,tutku
writer,yazar
empire,imparatorluk
international,uluslararası
curse,küfür
hire,kiralamak
bastards,piçler
puts,koyar
leads,potansiyel müşteriler
id,İD
blows,darbeler
sons,oğullar
estate,arazi
customers,müşteriler
maggie,maggie
gunshot,ateşli silah
i-,Ben-
device,cihaz
troops,birlikler
hug,sarılmak
design,tasarım
movement,hareket
thunder,gök gürültüsü
object,nesne
loser,beceriksiz
pen,dolma kalem
sobbing,hıçkırarak ağlayan
politics,siyaset
despite,aksine
alcohol,alkol
climb,tırmanmak
clients,müşteriler
conference,konferans
provide,sağlamak
marty,şehit
seek,aramak
witnesses,tanıklar
earn,para kazanmak
trash,çöp
valley,vadi
fashion,moda
howard,Howard
episode,bölüm
prize,ödül
previously,önceden
sports,Spor Dalları
wanting,istemek
debt,borç
wishes,dilekler
hitler,Hitler
wire,tel
thee,sana
circle,daire
approach,yaklaşmak
stock,stoklamak
facts,gerçekler
remembered,hatırladı
percent,yüzde
normally,normalde
tail,kuyruk
joined,katıldı
education,eğitim
bravo,Bravo
library,kütüphane
rape,tecavüz
wings,kanatlar
growling,hırıltı
thrown,fırlatıldı
tank,tankı
exhales,nefes verir
authority,yetki
current,akım
failure,arıza
nightmare,kabus
hitting,isabet
glory,görkem
knocked,kapıyı çaldı
studying,ders çalışıyor
barry,Barry
agency,Ajans
apple,elma
border,sınır
rope,halat
duck,ördek
reputation,itibar
confidence,kendinden emin
yard,bahçe
beloved,sevgili
lack,eksiklik
actual,gerçek
skills,yetenekler
films,filmler
mental,zihinsel
salt,tuz
flesh,et
anne,anne
secure,güvenli
highly,büyük ölçüde
federal,federal
sand,kum
emotional,duygusal
setting,ayar
nothin,hiçbirşey
senator,senatör
services,Hizmetler
robbery,soygun
hates,nefret ediyor
fed,Besledi
reward,ödül
theater,tiyatro
johnson,Johnson
commit,işlemek
patrick,Patrick
entirely,Baştan sona
extraordinary,olağanüstü
ships,gemiler
opposite,zıt
parties,partiler
stands,standlar
terry,havlu kumaş
chat,sohbet
events,olaylar
mummy,mumya
bay,koy
slip,kayma
disappointed,hayal kırıklığına uğramış
settled,yerleşik
begins,başlıyor
andrew,Andrew
alert,uyarı
detail,detay
pink,pembe
fellas,arkadaşlar
accepted,kabul edilmiş
background,arka plan
garbage,çöp
panic,panik
minds,zihinler
belt,kemer
blowing,üfleme
hollywood,Hollywood
agreement,anlaşma
jackie,jackie
pushing,iterek
ability,yetenek
tiger,kaplan
whispering,Fısıldayan
culture,kültür
saint,aziz
jesse,jesse
task,görev
solid,sağlam
doll,oyuncak bebek
intend,niyet etmek
district,semt
pa,baba
gee,vay be
custody,velayet
ignore,görmezden gelmek
naturally,doğal olarak
useful,kullanışlı
attempt,girişim
abandoned,terk edilmiş
cutting,kesme
kissed,öptüm
guarantee,garanti
barking,havlıyor
gather,toplamak
policy,politika
u.s.,biz.
violent,şiddetli
maid,hizmetçi
embarrassing,utandırıcı
childhood,çocukluk
wasting,israf
bow,yay
chick,piliç
sara,Sara
disaster,felaket
revolution,devrim
online,çevrimiçi
f,F
demon,iblis
heavily,ağır şekilde
coincidence,tesadüf
perform,rol yapmak
thin,ince
terrific,müthiş
mac,Mac
crown,taç
identity,kimlik
virgin,bakir
impressive,etkileyici
windows,pencereler
no-one,hiç kimse
potential,potansiyel
guitar,gitar
committee,Kurul
dozen,düzine
delivery,teslimat
advance,ilerlemek
quietly,sessizce
stan,stan
teaching,öğretim
hunter,avcı
latest,en sonuncu
hurting,acı verici
swing,sallanmak
capital,başkent
counting,sayma
drew,çizdi
dirt,kir
whistle,ıslık
marie,Marie
hits,isabetler
doug,doug
deny,reddetmek
urgent,acil
threatened,tehdit edildi
behavior,davranış
molly,molly
mixed,karışık
stays,kalır
assure,garanti etmek
subtitles,altyazılar
explanation,açıklama
wins,kazanır
unique,eşsiz
chasing,avcılık
billion,milyar
duke,dük
production,üretme
slave,köle
agents,ajanlar
carol,ilahi
lets,Haydi
cruel,acımasız
mask,maske
sally,sally
behave,davranmak
bury,gömmek
massive,cüsseli
pathetic,acınası
species,türler
approaching,yaklaşıyor
jo,jo
loan,borç
struggle,çabalamak
dish,tabak
trusted,güvenilir
jumped,atladı
firing,ateşleme
channel,kanal
abby,abby
stopping,Durduruluyor
asks,sorar
jean,kot pantolon
swimming,yüzme
daily,günlük
basement,bodrum
linda,linda
quarter,çeyrek
erm,ımm
bound,ciltli
navy,Donanma
article,madde
guide,rehber
accused,sanık
transfer,Aktar
guts,cesaret
quality,kalite
fella,dostum
roman,Roma
greater,daha büyük
damned,lanet olsun
couch,kanepe
cheer,tezahürat
vegas,Vegas
shoe,ayakkabı
title,başlık
shy,utangaç
punishment,ceza
los,kaybettim
clicks,tıklamalar
you,Sen
closet,dolap
bye-bye,güle güle
fever,ateş
coward,korkak
flash,flaş
impressed,etkilenmiş
bruce,Bruce
siren,siren
prisoners,mahkumlar
sides,taraflar
bowl,tas
katie,katie
supply,tedarik
sensitive,hassas
hopefully,umutla
rolling,yuvarlamak
roy,roy
dollar,dolar
tone,ton
voices,sesler
g,G
i,Ben
cheating,hile
confess,itiraf etmek
demand,talep etmek
museum,müze
unknown,Bilinmeyen
drama,dram
suspicious,şüpheli
adult,yetişkin
todd,todd
frightened,korkmuş
warned,uyardı
steady,sabit durmak
kills,öldürür
crossed,geçti
lou,Lou
particularly,özellikle
sandwich,sandviç
laws,kanunlar
joint,eklem yeri
bullets,mermiler
package,paket
trained,eğitimli
thursday,Perşembe
boots,bot ayakkabı
possibility,olasılık
albert,Albert
civil,sivil
june,haziran
germans,Almanlar
baseball,beyzbol
express,ifade etmek
miserable,acınası
tuesday,Salı
parker,parkçı
lion,aslan
joseph,Joseph
refused,reddedildi
shine,parlamak
assault,saldırı
hong,Hong
jokes,espriler
breaks,molalar
argue,tartışmak
you-,Sen-
trail,iz
option,seçenek
recall,hatırlamak
mighty,güçlü
collection,Toplamak
oliver,zeytin
wilson,Wilson
accent,aksan
believes,inanıyor
decisions,kararlar
embarrassed,utanmış
mobile,mobil
customer,müşteri
terribly,korkunç derecede
sec,saniye
charity,hayır kurumu
considering,düşünen
pussy,kedi
donna,donna
protecting,korumak
flag,bayrak
kidnapped,kaçırıldı
italy,İtalya
balance,denge
creatures,yaratıklar
nuclear,nükleer
wallet,cüzdan
shout,bağırmak
vincent,Vincent
entered,girdi
impression,izlenim
angela,Angela
jay,alakarga
degrees,derece
favour,iyilik
reaction,reaksiyon
network,ağ
jessica,Jessica
version,versiyon
concert,konser
gear,vites
singer,şarkıcı
diamond,elmas
defeat,yenmek
steven,Steven
lane,Lane
blast,büyük patlama
wounded,yaralı
anytime,istediğin zaman
partners,ortaklar
ages,yaşlar
charlotte,Charlotte
ceremony,tören
league,lig
bars,Barlar
orange,turuncu
specific,özel
conditions,koşullar
plastic,plastik
crisis,kriz
fifth,beşinci
term,terim
self,öz
offering,teklif
bud,tomurcuk
suffered,acı çekti
reported,rapor edildi
commissioner,komiser
rip,Huzur içinde yatsın
mysterious,gizemli
entrance,giriş
messed,berbat
tunnel,tünel
designed,tasarlanmış
neighbor,komşu
aboard,gemide
sweat,ter
justin,Justin
ghosts,hayaletler
crimes,Suçlar
costs,maliyetler
deserves,hak ediyor
dreaming,rüya görmek
bust,baskın yapmak
el,el
teddy,oyuncak
kong,kong
messages,mesajlar
enjoying,zevk almak
afterwards,daha sonrasında
comfort,konfor
mason,Duvarcı
surrender,teslim olmak
gym,spor salonu
kitty,Yavru kedi
crush,ezmek
yup,Evet
arranged,düzenlenmiş
suits,takım elbise
pee,işemek
stress,stres
cave,mağara